date,product_category,units_sold,inventory_level,unit_price,warehouse_dispatch_rate,promotion_flag,residual,z,anomaly_z,anomaly_iqr,anomaly_if,anomaly_votes,anomaly_consensus
2020-01-02,Apparel,445.1,716.9,171.46,69.9,False,,,False,False,True,1,False
2020-01-04,Apparel,600.6,712.1,172.11,557.1,True,132.692,1.078,False,True,True,2,True
2020-01-11,Apparel,456.0,779.1,174.53,420.0,False,31.592,0.257,False,False,True,1,False
2020-01-13,Apparel,447.0,784.8,162.92,59.0,False,22.536,0.183,False,False,True,1,False
2020-01-24,Apparel,737.4,1212.4,172.63,736.0,True,246.554,2.003,False,True,False,1,False
2020-02-16,Apparel,632.5,1236.5,167.36,581.6,True,192.459,1.563,False,True,False,1,False
2020-03-09,Apparel,340.3,1258.9,168.22,346.3,False,-80.364,-0.653,False,True,False,1,False
2020-04-01,Apparel,377.2,826.4,175.48,350.1,False,-21.548,-0.175,False,False,True,1,False
2020-05-07,Apparel,665.8,1301.3,169.57,624.1,True,222.162,1.805,False,True,False,1,False
2020-05-13,Apparel,569.7,1315.1,164.62,525.6,True,111.541,0.906,False,True,False,1,False
2020-05-27,Apparel,572.3,1319.1,167.15,584.5,True,152.136,1.236,False,True,False,1,False
2020-06-11,Apparel,611.9,1300.6,172.36,616.6,True,122.42,0.994,False,True,False,1,False
2020-07-08,Apparel,561.0,1311.1,161.74,530.5,True,127.905,1.039,False,True,False,1,False
2020-07-13,Apparel,489.0,1319.3,170.9,492.7,True,76.243,0.619,False,True,False,1,False
2020-08-06,Apparel,441.7,1256.567,171.033,427.967,False,-75.137,-0.61,False,True,False,1,False
2020-08-08,Apparel,423.5,1245.0,170.09,434.8,False,-82.236,-0.668,False,True,False,1,False
2020-08-09,Apparel,1007.6,1244.3,168.32,387.4,False,505.937,4.109,True,True,False,2,True
2020-08-10,Apparel,371.9,1257.5,167.77,389.9,False,-127.871,-1.038,False,True,False,1,False
2020-08-12,Apparel,440.6,1006.35,167.445,410.35,False,-76.702,-0.623,False,True,False,1,False
2020-08-16,Apparel,524.2,1237.6,166.67,511.6,True,69.766,0.567,False,True,False,1,False
2020-09-13,Apparel,365.1,1264.3,165.2,339.0,False,-83.22,-0.676,False,True,False,1,False
2020-09-14,Apparel,374.7,1259.5,164.68,366.0,False,-79.628,-0.647,False,True,False,1,False
2020-09-16,Apparel,622.1,1229.7,169.68,628.4,True,141.598,1.15,False,True,False,1,False
2020-09-29,Apparel,582.8,1236.6,169.26,539.5,True,153.257,1.245,False,True,False,1,False
2020-10-18,Apparel,397.467,1254.9,171.373,389.2,False,-176.353,-1.432,False,True,False,1,False
2020-10-19,Apparel,372.4,1265.7,173.66,381.5,False,-365.643,-2.97,False,True,False,1,False
2020-10-21,Apparel,1200.333,1246.7,171.38,413.767,False,265.45,2.156,False,True,False,1,False
2020-10-22,Apparel,1614.3,1237.2,170.24,429.9,False,677.956,5.507,True,True,False,2,True
2020-10-23,Apparel,1224.067,1237.5,170.173,433.833,False,277.762,2.256,False,True,False,1,False
2020-10-25,Apparel,443.6,1238.1,170.04,441.7,False,-322.656,-2.62,False,True,False,1,False
2020-10-26,Apparel,434.95,1235.15,170.73,421.65,False,-163.943,-1.331,False,True,False,1,False
2020-11-05,Apparel,519.3,961.6,163.62,69.4,False,26.347,0.214,False,False,True,1,False
2020-11-11,Apparel,460.5,1249.567,166.74,467.733,False,-74.65,-0.606,False,True,False,1,False
2020-11-12,Apparel,477.2,1245.233,168.45,484.967,False,-196.687,-1.597,False,True,False,1,False
2020-11-13,Apparel,493.9,1240.9,170.16,502.2,False,-393.754,-3.198,True,True,False,2,True
2020-11-15,Apparel,1417.167,1262.3,170.807,439.867,False,443.482,3.602,True,True,False,2,True
2020-11-16,Apparel,1878.8,1273.0,171.13,408.7,False,905.65,7.356,True,True,False,2,True
2020-11-17,Apparel,1177.85,1264.6,171.71,442.35,False,213.428,1.734,False,True,False,1,False
2020-11-18,Apparel,476.9,1256.2,172.29,476.0,False,-455.314,-3.698,True,True,False,2,True
2020-11-19,Apparel,486.6,1252.95,169.67,469.25,False,-303.265,-2.463,False,True,False,1,False
2020-11-20,Apparel,496.3,1249.7,167.05,462.5,False,-88.59,-0.719,False,True,False,1,False
2020-11-27,Apparel,759.8,1236.1,173.53,692.9,True,227.874,1.851,False,True,False,1,False
2020-11-29,Apparel,433.7,1253.5,172.39,426.4,False,-88.091,-0.715,False,True,False,1,False
2020-12-01,Apparel,583.4,1257.2,166.2,587.8,True,112.271,0.912,False,True,False,1,False
2020-12-07,Apparel,402.8,1309.6,166.85,415.1,False,-83.528,-0.678,False,True,False,1,False
2020-12-09,Apparel,625.5,1252.3,174.18,644.0,True,109.627,0.891,False,True,False,1,False
2020-12-25,Apparel,515.1,1256.8,167.97,4889.0,False,42.996,0.349,False,False,True,1,False
2021-01-29,Apparel,602.5,1276.1,164.41,603.0,True,125.031,1.016,False,True,False,1,False
2021-02-06,Apparel,535.96,1284.38,171.602,550.98,False,64.971,0.528,False,True,False,1,False
2021-02-07,Apparel,566.7,1284.7,171.87,583.7,True,105.186,0.855,False,True,False,1,False
2021-02-08,Apparel,374.7,1292.8,169.24,391.5,False,-82.926,-0.673,False,True,False,1,False
2021-03-13,Apparel,601.3,1267.333,171.37,607.433,False,89.692,0.729,False,True,False,1,False
2021-03-14,Apparel,653.8,1268.5,174.51,654.4,True,149.451,1.214,False,True,False,1,False
2021-03-15,Apparel,419.1,1278.4,171.77,388.3,False,-77.271,-0.627,False,True,False,1,False
2021-04-10,Apparel,638.9,1299.1,171.02,669.8,True,158.892,1.291,False,True,False,1,False
2021-04-12,Apparel,421.9,1306.4,167.14,392.7,False,-76.343,-0.62,False,True,False,1,False
2021-04-13,Apparel,382.5,1324.8,167.26,374.0,False,-115.891,-0.941,False,True,False,1,False
2021-04-15,Apparel,638.7,1307.5,169.53,636.1,True,137.913,1.12,False,True,False,1,False
2021-04-16,Apparel,564.733,1307.633,168.02,565.667,False,66.122,0.537,False,True,False,1,False
2021-04-22,Apparel,523.3,1312.7,164.32,547.7,True,76.727,0.623,False,True,False,1,False
2021-05-06,Apparel,674.0,1297.2,170.62,698.8,True,138.863,1.128,False,True,False,1,False
2021-06-30,Apparel,397.4,1293.8,168.94,3610.0,False,-19.452,-0.158,False,False,True,1,False
2021-07-10,Apparel,440.5,1297.3,173.74,4202.0,False,6.692,0.055,False,False,True,1,False
2021-07-20,Apparel,417.0,1291.7,164.98,3981.0,False,35.457,0.288,False,False,True,1,False
2021-09-10,Apparel,669.6,1305.7,170.15,670.4,True,175.153,1.423,False,True,False,1,False
2021-09-22,Apparel,645.4,1338.3,171.76,608.6,True,147.615,1.199,False,True,False,1,False
2021-10-03,Apparel,497.4,1321.54,167.042,483.14,False,-389.749,-3.165,True,True,False,2,True
2021-10-04,Apparel,486.8,1324.62,166.026,465.12,False,-400.128,-3.25,True,True,False,2,True
2021-10-05,Apparel,476.2,1327.7,165.01,447.1,False,-396.936,-3.224,True,True,False,2,True
2021-10-06,Apparel,3255.4,1324.8,174.39,740.1,True,2345.262,19.049,True,True,True,3,True
2021-10-07,Apparel,540.8,1310.2,169.34,515.1,False,-362.558,-2.945,False,True,False,1,False
2021-10-08,Apparel,485.55,1291.55,169.77,470.75,False,-414.762,-3.369,True,True,False,2,True
2021-10-09,Apparel,513.4,1309.7,166.66,482.9,False,-369.565,-3.001,True,True,False,2,True
2021-10-14,Apparel,615.7,1323.0,171.99,607.8,True,113.456,0.922,False,True,False,1,False
