date,product_category,units_sold,forecast_arima,model_used
2022-12-06,Apparel,520.7,549.79,"ARIMA(1, 1, 1)"
2022-12-07,Apparel,536.5,564.09,"ARIMA(1, 1, 1)"
2022-12-08,Apparel,495.45,568.65,"ARIMA(1, 1, 1)"
2022-12-09,Apparel,454.4,570.1,"ARIMA(1, 1, 1)"
2022-12-10,Apparel,479.85,570.56,"ARIMA(1, 1, 1)"
2022-12-11,Apparel,505.3,570.71,"ARIMA(1, 1, 1)"
2022-12-12,Apparel,674.5,570.76,"ARIMA(1, 1, 1)"
2022-12-13,Apparel,508.7,570.77,"ARIMA(1, 1, 1)"
2022-12-14,Apparel,556.8,570.77,"ARIMA(1, 1, 1)"
2022-12-15,Apparel,531.1,570.78,"ARIMA(1, 1, 1)"
2022-12-16,Apparel,569.6,570.78,"ARIMA(1, 1, 1)"
2022-12-17,Apparel,529.8,570.78,"ARIMA(1, 1, 1)"
2022-12-18,Apparel,683.5,570.78,"ARIMA(1, 1, 1)"
2022-12-19,Apparel,469.8,570.78,"ARIMA(1, 1, 1)"
2022-12-20,Apparel,464.1,570.78,"ARIMA(1, 1, 1)"
2022-12-21,Apparel,497.2,570.78,"ARIMA(1, 1, 1)"
2022-12-22,Apparel,549.5,570.78,"ARIMA(1, 1, 1)"
2022-12-23,Apparel,586.7,570.78,"ARIMA(1, 1, 1)"
2022-12-24,Apparel,601.9333333333334,570.78,"ARIMA(1, 1, 1)"
2022-12-25,Apparel,617.1666666666666,570.78,"ARIMA(1, 1, 1)"
2022-12-26,Apparel,632.4,570.78,"ARIMA(1, 1, 1)"
2022-12-27,Apparel,591.05,570.78,"ARIMA(1, 1, 1)"
2022-12-28,Apparel,549.7,570.78,"ARIMA(1, 1, 1)"
2022-12-29,Apparel,560.1,570.78,"ARIMA(1, 1, 1)"
2022-12-30,Apparel,530.0,570.78,"ARIMA(1, 1, 1)"
2022-12-31,Apparel,499.9,570.78,"ARIMA(1, 1, 1)"
2023-01-01,Apparel,491.1,570.78,"ARIMA(1, 1, 1)"
2023-01-02,Apparel,563.5,570.78,"ARIMA(1, 1, 1)"
2023-01-03,Apparel,635.9,570.78,"ARIMA(1, 1, 1)"
2023-01-04,Apparel,543.9,570.78,"ARIMA(1, 1, 1)"
2023-03-03,Automotive Parts,403.4409090909091,400.84,"ARIMA(1, 1, 1)"
2023-03-04,Automotive Parts,403.7636363636364,400.59,"ARIMA(1, 1, 1)"
2023-03-05,Automotive Parts,404.0863636363636,400.56,"ARIMA(1, 1, 1)"
2023-03-06,Automotive Parts,404.4090909090909,400.56,"ARIMA(1, 1, 1)"
2023-03-07,Automotive Parts,404.7318181818182,400.56,"ARIMA(1, 1, 1)"
2023-03-08,Automotive Parts,405.0545454545455,400.56,"ARIMA(1, 1, 1)"
2023-03-09,Automotive Parts,405.3772727272727,400.56,"ARIMA(1, 1, 1)"
2023-03-10,Automotive Parts,405.7,400.56,"ARIMA(1, 1, 1)"
2023-03-11,Automotive Parts,406.02272727272725,400.56,"ARIMA(1, 1, 1)"
2023-03-12,Automotive Parts,406.3454545454546,400.56,"ARIMA(1, 1, 1)"
2023-03-13,Automotive Parts,406.6681818181818,400.56,"ARIMA(1, 1, 1)"
2023-03-14,Automotive Parts,406.9909090909091,400.56,"ARIMA(1, 1, 1)"
2023-03-15,Automotive Parts,407.3136363636364,400.56,"ARIMA(1, 1, 1)"
2023-03-16,Automotive Parts,407.6363636363636,400.56,"ARIMA(1, 1, 1)"
2023-03-17,Automotive Parts,407.95909090909095,400.56,"ARIMA(1, 1, 1)"
2023-03-18,Automotive Parts,408.2818181818182,400.56,"ARIMA(1, 1, 1)"
2023-03-19,Automotive Parts,408.6045454545455,400.56,"ARIMA(1, 1, 1)"
2023-03-20,Automotive Parts,408.9272727272728,400.56,"ARIMA(1, 1, 1)"
2023-03-21,Automotive Parts,409.25,400.56,"ARIMA(1, 1, 1)"
2023-03-22,Automotive Parts,409.57272727272726,400.56,"ARIMA(1, 1, 1)"
2023-03-23,Automotive Parts,409.8954545454545,400.56,"ARIMA(1, 1, 1)"
2023-03-24,Automotive Parts,410.21818181818185,400.56,"ARIMA(1, 1, 1)"
2023-03-25,Automotive Parts,410.5409090909091,400.56,"ARIMA(1, 1, 1)"
2023-03-26,Automotive Parts,410.8636363636364,400.56,"ARIMA(1, 1, 1)"
2023-03-27,Automotive Parts,411.1863636363637,400.56,"ARIMA(1, 1, 1)"
2023-03-28,Automotive Parts,411.5090909090909,400.56,"ARIMA(1, 1, 1)"
2023-03-29,Automotive Parts,411.8318181818182,400.56,"ARIMA(1, 1, 1)"
2023-03-30,Automotive Parts,412.1545454545455,400.56,"ARIMA(1, 1, 1)"
2023-03-31,Automotive Parts,412.4772727272728,400.56,"ARIMA(1, 1, 1)"
2023-04-01,Automotive Parts,412.8,400.56,"ARIMA(1, 1, 1)"
2022-12-04,Beauty,383.9,404.07,"ARIMA(1, 1, 1)"
2022-12-05,Beauty,344.8,408.73,"ARIMA(1, 1, 1)"
2022-12-06,Beauty,367.0,411.1,"ARIMA(1, 1, 1)"
2022-12-07,Beauty,383.9,412.31,"ARIMA(1, 1, 1)"
2022-12-08,Beauty,402.1666666666666,412.92,"ARIMA(1, 1, 1)"
2022-12-09,Beauty,420.4333333333333,413.23,"ARIMA(1, 1, 1)"
2022-12-10,Beauty,438.7,413.39,"ARIMA(1, 1, 1)"
2022-12-11,Beauty,460.375,413.47,"ARIMA(1, 1, 1)"
2022-12-12,Beauty,482.05,413.51,"ARIMA(1, 1, 1)"
2022-12-13,Beauty,503.725,413.53,"ARIMA(1, 1, 1)"
2022-12-14,Beauty,525.4,413.54,"ARIMA(1, 1, 1)"
2022-12-15,Beauty,488.0,413.55,"ARIMA(1, 1, 1)"
2022-12-16,Beauty,450.6,413.55,"ARIMA(1, 1, 1)"
2022-12-17,Beauty,378.0,413.55,"ARIMA(1, 1, 1)"
2022-12-18,Beauty,363.9,413.55,"ARIMA(1, 1, 1)"
2022-12-19,Beauty,363.2,413.55,"ARIMA(1, 1, 1)"
2022-12-20,Beauty,358.7,413.55,"ARIMA(1, 1, 1)"
2022-12-21,Beauty,394.9,413.55,"ARIMA(1, 1, 1)"
2022-12-22,Beauty,407.7,413.55,"ARIMA(1, 1, 1)"
2022-12-23,Beauty,393.425,413.55,"ARIMA(1, 1, 1)"
2022-12-24,Beauty,379.15,413.55,"ARIMA(1, 1, 1)"
2022-12-25,Beauty,364.875,413.55,"ARIMA(1, 1, 1)"
2022-12-26,Beauty,350.6,413.55,"ARIMA(1, 1, 1)"
2022-12-27,Beauty,462.4,413.55,"ARIMA(1, 1, 1)"
2022-12-28,Beauty,382.3,413.55,"ARIMA(1, 1, 1)"
2022-12-29,Beauty,473.9,413.55,"ARIMA(1, 1, 1)"
2022-12-30,Beauty,565.5,413.55,"ARIMA(1, 1, 1)"
2022-12-31,Beauty,386.5,413.55,"ARIMA(1, 1, 1)"
2023-01-01,Beauty,364.5,413.55,"ARIMA(1, 1, 1)"
2023-01-02,Beauty,342.5,413.55,"ARIMA(1, 1, 1)"
2022-12-04,Clothing,527.9625,520.56,"ARIMA(1, 1, 1)"
