date,product_category,units_sold,forecast_ma
2022-12-06,Apparel,520.7,507.05
2022-12-07,Apparel,536.5,507.05
2022-12-08,Apparel,495.45,507.05
2022-12-09,Apparel,454.4,507.05
2022-12-10,Apparel,479.85,507.05
2022-12-11,Apparel,505.3,507.05
2022-12-12,Apparel,674.5,507.05
2022-12-13,Apparel,508.7,507.05
2022-12-14,Apparel,556.8,507.05
2022-12-15,Apparel,531.1,507.05
2022-12-16,Apparel,569.6,507.05
2022-12-17,Apparel,529.8,507.05
2022-12-18,Apparel,683.5,507.05
2022-12-19,Apparel,469.8,507.05
2022-12-20,Apparel,464.1,507.05
2022-12-21,Apparel,497.2,507.05
2022-12-22,Apparel,549.5,507.05
2022-12-23,Apparel,586.7,507.05
2022-12-24,Apparel,601.9333333333334,507.05
2022-12-25,Apparel,617.1666666666666,507.05
2022-12-26,Apparel,632.4,507.05
2022-12-27,Apparel,591.05,507.05
2022-12-28,Apparel,549.7,507.05
2022-12-29,Apparel,560.1,507.05
2022-12-30,Apparel,530.0,507.05
2022-12-31,Apparel,499.9,507.05
2023-01-01,Apparel,491.1,507.05
2023-01-02,Apparel,563.5,507.05
2023-01-03,Apparel,635.9,507.05
2023-01-04,Apparel,543.9,507.05
2023-03-03,Automotive Parts,403.4409090909091,402.15
2023-03-04,Automotive Parts,403.7636363636364,402.15
2023-03-05,Automotive Parts,404.0863636363636,402.15
2023-03-06,Automotive Parts,404.4090909090909,402.15
2023-03-07,Automotive Parts,404.7318181818182,402.15
2023-03-08,Automotive Parts,405.0545454545455,402.15
2023-03-09,Automotive Parts,405.3772727272727,402.15
2023-03-10,Automotive Parts,405.7,402.15
2023-03-11,Automotive Parts,406.02272727272725,402.15
2023-03-12,Automotive Parts,406.3454545454546,402.15
2023-03-13,Automotive Parts,406.6681818181818,402.15
2023-03-14,Automotive Parts,406.9909090909091,402.15
2023-03-15,Automotive Parts,407.3136363636364,402.15
2023-03-16,Automotive Parts,407.6363636363636,402.15
2023-03-17,Automotive Parts,407.95909090909095,402.15
2023-03-18,Automotive Parts,408.2818181818182,402.15
2023-03-19,Automotive Parts,408.6045454545455,402.15
2023-03-20,Automotive Parts,408.9272727272728,402.15
2023-03-21,Automotive Parts,409.25,402.15
2023-03-22,Automotive Parts,409.57272727272726,402.15
2023-03-23,Automotive Parts,409.8954545454545,402.15
2023-03-24,Automotive Parts,410.21818181818185,402.15
2023-03-25,Automotive Parts,410.5409090909091,402.15
2023-03-26,Automotive Parts,410.8636363636364,402.15
2023-03-27,Automotive Parts,411.1863636363637,402.15
2023-03-28,Automotive Parts,411.5090909090909,402.15
2023-03-29,Automotive Parts,411.8318181818182,402.15
2023-03-30,Automotive Parts,412.1545454545455,402.15
2023-03-31,Automotive Parts,412.4772727272728,402.15
2023-04-01,Automotive Parts,412.8,402.15
2022-12-04,Beauty,383.9,393.73
2022-12-05,Beauty,344.8,393.73
2022-12-06,Beauty,367.0,393.73
2022-12-07,Beauty,383.9,393.73
2022-12-08,Beauty,402.1666666666666,393.73
2022-12-09,Beauty,420.4333333333333,393.73
2022-12-10,Beauty,438.7,393.73
2022-12-11,Beauty,460.375,393.73
2022-12-12,Beauty,482.05,393.73
2022-12-13,Beauty,503.725,393.73
2022-12-14,Beauty,525.4,393.73
2022-12-15,Beauty,488.0,393.73
2022-12-16,Beauty,450.6,393.73
2022-12-17,Beauty,378.0,393.73
2022-12-18,Beauty,363.9,393.73
2022-12-19,Beauty,363.2,393.73
2022-12-20,Beauty,358.7,393.73
2022-12-21,Beauty,394.9,393.73
2022-12-22,Beauty,407.7,393.73
2022-12-23,Beauty,393.425,393.73
2022-12-24,Beauty,379.15,393.73
2022-12-25,Beauty,364.875,393.73
2022-12-26,Beauty,350.6,393.73
2022-12-27,Beauty,462.4,393.73
2022-12-28,Beauty,382.3,393.73
2022-12-29,Beauty,473.9,393.73
2022-12-30,Beauty,565.5,393.73
2022-12-31,Beauty,386.5,393.73
2023-01-01,Beauty,364.5,393.73
2023-01-02,Beauty,342.5,393.73
2022-12-04,Clothing,527.9625,509.85
2022-12-05,Clothing,535.85,509.85
2022-12-06,Clothing,543.7375,509.85
2022-12-07,Clothing,551.625,509.85
2022-12-08,Clothing,559.5124999999999,509.85
2022-12-09,Clothing,567.4,509.85
2022-12-10,Clothing,571.5555555555555,509.85
2022-12-11,Clothing,575.7111111111111,509.85
2022-12-12,Clothing,579.8666666666667,509.85
2022-12-13,Clothing,584.0222222222222,509.85
2022-12-14,Clothing,588.1777777777778,509.85
2022-12-15,Clothing,592.3333333333334,509.85
2022-12-16,Clothing,596.4888888888889,509.85
2022-12-17,Clothing,600.6444444444445,509.85
2022-12-18,Clothing,604.8,509.85
2022-12-19,Clothing,608.9555555555555,509.85
2022-12-20,Clothing,613.1111111111111,509.85
2022-12-21,Clothing,617.2666666666667,509.85
2022-12-22,Clothing,621.4222222222222,509.85
2022-12-23,Clothing,625.5777777777778,509.85
2022-12-24,Clothing,629.7333333333333,509.85
2022-12-25,Clothing,633.8888888888889,509.85
2022-12-26,Clothing,638.0444444444445,509.85
2022-12-27,Clothing,642.2,509.85
2022-12-28,Clothing,613.1,509.85
2022-12-29,Clothing,584.0,509.85
2022-12-30,Clothing,554.9000000000001,509.85
2022-12-31,Clothing,525.8000000000001,509.85
2023-01-01,Clothing,496.7000000000001,509.85
2023-01-02,Clothing,467.6,509.85
2022-12-06,Electronics,246.0,274.94
2022-12-07,Electronics,276.9,274.94
2022-12-08,Electronics,247.65,274.94
2022-12-09,Electronics,218.4,274.94
2022-12-10,Electronics,206.9,274.94
2022-12-11,Electronics,277.5,274.94
2022-12-12,Electronics,240.5,274.94
2022-12-13,Electronics,253.5,274.94
2022-12-14,Electronics,270.6,274.94
2022-12-15,Electronics,287.7,274.94
2022-12-16,Electronics,320.79999999999995,274.94
2022-12-17,Electronics,353.9,274.94
2022-12-18,Electronics,273.1,274.94
2022-12-19,Electronics,266.3,274.94
2022-12-20,Electronics,272.75,274.94
2022-12-21,Electronics,279.2,274.94
2022-12-22,Electronics,314.7,274.94
2022-12-23,Electronics,333.3,274.94
2022-12-24,Electronics,316.53333333333336,274.94
2022-12-25,Electronics,299.76666666666665,274.94
2022-12-26,Electronics,283.0,274.94
2022-12-27,Electronics,292.3,274.94
