date,product_category,units_sold,inventory_level,unit_price,promotion_flag,warehouse_dispatch_rate
01-01-2020,Apparel,453.9,719.0,168.09,False,426.4
02-01-2020,Apparel,445.1,716.9,171.46,False,69.9
03-01-2020,Apparel,483.4,711.2,167.15,False,463.2
04-01-2020,Apparel,600.6,712.1,172.11,True,557.1
05-01-2020,Apparel,407.2,1216.3,171.24,False,422.8
06-01-2020,Apparel,428.5,1212.2,169.72,False,409.7
07-01-2020,Apparel,507.2,1321.1,168.92,True,484.7
07-01-2020,Apparel,420.4,1215.0,170.28,False,403.3
08-01-2020,Apparel,393.1,1279.4,169.7,False,406.5
10-01-2020,Apparel,456.3,1187.7,166.84,False,448.3
11-01-2020,Apparel,456.0,779.1,174.53,False,420.0
12-01-2020,Apparel,439.1,783.4,171.85,False,412.7
13-01-2020,Apparel,447.0,784.8,162.92,False,59.0
14-01-2020,Apparel,361.8,801.4,166.79,False,352.3
16-01-2020,Apparel,469.9,1198.0,169.42,False,464.0
17-01-2020,Apparel,486.4,1186.5,168.7,False,467.9
18-01-2020,Apparel,484.9,1191.7,166.63,False,487.3
19-01-2020,Apparel,424.7,1219.4,169.25,False,425.7
20-01-2020,Apparel,400.2,1230.6,164.31,False,376.7
21-01-2020,Apparel,428.7,1226.6,175.51,False,446.7
22-01-2020,Apparel,464.6,1223.6,168.48,False,483.2
23-01-2020,Apparel,422.3,1239.3,171.18,False,394.1
24-01-2020,Apparel,737.4,1212.4,172.63,True,736.0
25-01-2020,Apparel,422.6,1230.1,170.27,False,428.7
30-01-2020,Apparel,470.0,1204.9,167.99,False,475.1
01-02-2020,Apparel,445.3,1220.1,171.06,False,458.7
02-02-2020,Apparel,409.2,1229.8,172.05,False,382.8
04-02-2020,Apparel,388.3,824.7,168.85,False,47.7
04-02-2020,Apparel,423.6,1229.7,172.54,False,414.6
05-02-2020,Apparel,437.6,1230.9,173.12,False,408.9
06-02-2020,Apparel,430.1,1233.4,167.03,False,446.8
07-02-2020,Apparel,458.8,1224.6,173.91,False,413.2
09-02-2020,Apparel,426.6,1224.7,170.1,False,429.4
10-02-2020,Apparel,375.7,1240.9,167.72,False,378.1
14-02-2020,Apparel,446.1,1237.6,175.88,False,411.8
15-02-2020,Apparel,431.0,1235.0,166.85,False,450.8
16-02-2020,Apparel,632.5,1236.5,167.36,True,581.6
17-02-2020,Apparel,384.9,1237.2,168.73,False,387.3
21-02-2020,Apparel,450.3,1210.9,167.94,False,445.3
23-02-2020,Apparel,406.7,1217.3,170.65,False,391.0
24-02-2020,Apparel,430.6,1211.1,167.3,False,391.8
25-02-2020,Apparel,395.0,1228.3,166.47,False,371.0
26-02-2020,Apparel,406.6,1218.8,172.85,False,370.4
28-02-2020,Apparel,415.9,1221.3,174.13,False,411.0
03-03-2020,Apparel,355.4,1250.5,169.14,False,361.9
04-03-2020,Apparel,388.2,1249.1,170.17,False,404.9
05-03-2020,Apparel,365.0,1321.7,169.7,False,360.4
06-03-2020,Apparel,463.6,1223.8,170.12,False,428.1
08-03-2020,Apparel,417.9,1236.0,169.25,False,378.1
09-03-2020,Apparel,340.3,1258.9,168.22,False,346.3
10-03-2020,Apparel,439.3,1245.2,169.15,False,448.1
11-03-2020,Apparel,461.5,1220.2,169.75,False,483.6
12-03-2020,Apparel,456.0,1230.1,167.19,False,452.4
15-03-2020,Apparel,411.5,1250.6,170.84,False,383.9
19-03-2020,Apparel,419.1,1247.1,167.4,False,392.7
20-03-2020,Apparel,444.8,1244.2,165.96,False,451.1
