date,units_sold,inventory_level,unit_price,warehouse_dispatch_rate,promotion_flag,product_category
2020-01-01,453.9,719.0,168.09,426.4,False,Apparel
2020-01-02,445.1,716.9,171.46,69.9,False,Apparel
2020-01-03,483.4,711.2,167.15,463.2,False,Apparel
2020-01-04,600.6,712.1,172.11,557.1,True,Apparel
2020-01-05,407.2,1216.3,171.24,422.8,False,Apparel
2020-01-06,428.5,1212.2,169.72,409.7,False,Apparel
2020-01-07,463.79999999999995,1268.05,169.6,444.0,False,Apparel
2020-01-08,393.1,1279.4,169.7,406.5,False,Apparel
2020-01-09,424.70000000000005,1233.5500000000002,168.26999999999998,427.4,False,Apparel
2020-01-10,456.3,1187.7,166.84,448.3,False,Apparel
2020-01-11,456.0,779.1,174.53,420.0,False,Apparel
2020-01-12,439.1,783.4,171.85,412.7,False,Apparel
2020-01-13,447.0,784.8,162.92,59.0,False,Apparel
2020-01-14,361.8,801.4,166.79,352.3,False,Apparel
2020-01-15,415.85,999.7,168.105,408.15,False,Apparel
2020-01-16,469.9,1198.0,169.42,464.0,False,Apparel
2020-01-17,486.4,1186.5,168.7,467.9,False,Apparel
2020-01-18,484.9,1191.7,166.63,487.3,False,Apparel
2020-01-19,424.7,1219.4,169.25,425.7,False,Apparel
2020-01-20,400.2,1230.6,164.31,376.7,False,Apparel
2020-01-21,428.7,1226.6,175.51,446.7,False,Apparel
2020-01-22,464.6,1223.6,168.48,483.2,False,Apparel
2020-01-23,422.3,1239.3,171.18,394.1,False,Apparel
2020-01-24,737.4,1212.4,172.63,736.0,True,Apparel
2020-01-25,422.6,1230.1,170.27,428.7,False,Apparel
2020-01-26,432.08000000000004,1225.06,169.81400000000002,437.98,False,Apparel
2020-01-27,441.56,1220.02,169.358,447.26,False,Apparel
2020-01-28,451.04,1214.98,168.90200000000002,456.54,False,Apparel
2020-01-29,460.52,1209.94,168.446,465.82,False,Apparel
2020-01-30,470.0,1204.9,167.99,475.1,False,Apparel
2020-01-31,457.65,1212.5,169.525,466.9,False,Apparel
2020-02-01,445.3,1220.1,171.06,458.7,False,Apparel
2020-02-02,409.2,1229.8,172.05,382.8,False,Apparel
2020-02-03,407.57500000000005,1128.5,171.3725,306.975,False,Apparel
2020-02-04,405.95000000000005,1027.2,170.695,231.15,False,Apparel
2020-02-05,437.6,1230.9,173.12,408.9,False,Apparel
2020-02-06,430.1,1233.4,167.03,446.8,False,Apparel
2020-02-07,458.8,1224.6,173.91,413.2,False,Apparel
2020-02-08,442.70000000000005,1224.65,172.005,421.29999999999995,False,Apparel
2020-02-09,426.6,1224.7,170.1,429.4,False,Apparel
2020-02-10,375.7,1240.9,167.72,378.1,False,Apparel
2020-02-11,393.3,1240.075,169.76,386.52500000000003,False,Apparel
2020-02-12,410.9,1239.25,171.8,394.95000000000005,False,Apparel
2020-02-13,428.5,1238.425,173.84,403.375,False,Apparel
2020-02-14,446.1,1237.6,175.88,411.8,False,Apparel
2020-02-15,431.0,1235.0,166.85,450.8,False,Apparel
2020-02-16,632.5,1236.5,167.36,581.6,True,Apparel
2020-02-17,384.9,1237.2,168.73,387.3,False,Apparel
2020-02-18,401.25,1230.625,168.5325,401.8,False,Apparel
2020-02-19,417.6,1224.0500000000002,168.33499999999998,416.3,False,Apparel
2020-02-20,433.95,1217.4750000000001,168.1375,430.8,False,Apparel
2020-02-21,450.3,1210.9,167.94,445.3,False,Apparel
2020-02-22,428.5,1214.1,169.29500000000002,418.15,False,Apparel
