order_date,category,units_sold,inventory_on_hand,unit_price,injected_anomaly
2023-01-02,Clothing,317,893,39.25,
2023-01-03,Clothing,370,1066,41.66,
2023-01-04,Clothing,388,659,41.73,
2023-01-05,Clothing,343,626,38.22,
2023-01-06,Clothing,282,647,40.66,
2023-01-07,Clothing,272,522,41.18,
2023-01-08,Clothing,263,396,41.69,
2023-01-09,Clothing,250,590,41.33,
2023-01-10,Clothing,402,1028,38.25,
2023-01-11,Clothing,408,1036,38.94,
2023-01-12,Clothing,347,949,38.41,
2023-01-13,Clothing,267,538,41.98,
2023-01-14,Clothing,310,504,38.98,
2023-01-15,Clothing,308,641,39.21,
2023-01-16,Clothing,319,778,39.98,
2023-01-17,Clothing,425,947,39.32,
2023-01-18,Clothing,388,686,40.52,
2023-01-19,Clothing,350,551,40.42,
2023-01-20,Clothing,300,568,39.51,
2023-01-21,Clothing,296,708,38.08,
2023-01-22,Clothing,323,919,39.28,
2023-01-23,Clothing,337,809,39.4,
2023-01-24,Clothing,375,987,38.45,
2023-01-25,Clothing,457,1197,38.88,
2023-01-26,Clothing,364,1044,40.28,
2023-01-27,Clothing,285,855,41.64,
2023-01-28,Clothing,305,649,38.64,
2023-01-29,Clothing,297,574,39.19,
2023-01-30,Clothing,319,496,38.8,
2023-01-31,Clothing,398,817,41.19,
2023-02-01,Clothing,446,1138,38.69,
2023-02-02,Clothing,415,955,40.0,
2023-02-03,Clothing,349,1019,41.45,
2023-02-04,Clothing,318,838,38.79,
2023-02-05,Clothing,368,779,38.81,
2023-02-06,Clothing,333,720,39.02,
2023-02-07,Clothing,362,795,40.22,
2023-02-08,Clothing,451,1001,39.81,
2023-02-09,Clothing,402,1167,38.12,
2023-02-10,Clothing,390,1120,38.24,
2023-02-11,Clothing,378,1073,38.36,
2023-02-12,Clothing,396,988,38.77,
2023-02-13,Clothing,413,904,39.17,
2023-02-14,Clothing,431,819,39.58,
2023-02-15,Clothing,475,986,40.95,
2023-02-16,Clothing,381,579,39.65,
2023-02-17,Clothing,360,594,41.98,
2023-02-18,Clothing,339,621,39.49,
2023-02-19,Clothing,365,582,38.4,
2023-02-20,Clothing,434,987,39.94,
2023-02-21,Clothing,503,1205,38.66,
2023-02-22,Clothing,446,1035,38.51,
2023-02-23,Clothing,335,572,41.08,
2023-02-24,Clothing,307,521,41.43,
2023-02-25,Clothing,366,944,38.66,
2023-02-26,Clothing,348,926,39.23,
2023-02-27,Clothing,415,819,41.19,
2023-02-28,Clothing,470,888,41.24,
2023-03-01,Clothing,457,904,38.87,
2023-03-02,Clothing,431,1102,38.56,
2023-03-03,Clothing,397,1022,38.94,
2023-03-04,Clothing,363,942,39.33,
2023-03-05,Clothing,354,1077,39.18,
2023-03-06,Clothing,419,1211,38.66,
2023-03-07,Clothing,484,1346,38.13,
2023-03-08,Clothing,472,829,39.6,
2023-03-09,Clothing,314,786,40.4,
2023-03-10,Clothing,362,821,40.64,
2023-03-11,Clothing,373,738,40.06,
2023-03-12,Clothing,384,655,39.48,
2023-03-13,Clothing,395,666,39.0,
2023-03-14,Clothing,427,914,38.45,
2023-03-15,Clothing,511,1209,40.25,
2023-03-16,Clothing,426,1167,41.26,
2023-03-17,Clothing,347,901,38.5,
2023-03-18,Clothing,356,619,39.14,
2023-03-19,Clothing,376,1128,38.01,
2023-03-20,Clothing,397,862,38.17,
2023-03-21,Clothing,410,885,39.57,
2023-03-22,Clothing,545,864,40.33,
2023-03-23,Clothing,402,843,40.0,
2023-03-24,Clothing,380,650,38.65,
2023-03-25,Clothing,358,660,39.53,
2023-03-26,Clothing,374,620,39.69,
2023-03-27,Clothing,359,860,41.77,
2023-03-28,Clothing,476,1209,41.85,
2023-03-29,Clothing,485,758,39.92,
2023-03-30,Clothing,457,1236,40.21,
2023-03-31,Clothing,347,696,40.51,
2023-04-01,Clothing,329,920,39.86,
2023-04-02,Clothing,331,753,41.19,
2023-04-03,Clothing,374,974,38.12,
2023-04-04,Clothing,373,1173,41.21,
2023-04-05,Clothing,372,1014,40.54,
2023-04-06,Clothing,370,854,39.86,
2023-04-07,Clothing,369,695,39.19,
2023-04-08,Clothing,326,768,38.19,
2023-04-09,Clothing,385,849,39.32,
2023-04-10,Clothing,357,663,41.9,
2023-04-11,Clothing,377,738,40.42,
2023-04-12,Clothing,494,1351,40.87,
2023-04-13,Clothing,433,1125,38.36,
2023-04-14,Clothing,322,554,38.12,
2023-04-15,Clothing,339,794,40.07,
2023-04-16,Clothing,354,937,41.19,
2023-04-17,Clothing,370,1040,39.32,
2023-04-18,Clothing,451,1302,41.05,
2023-04-19,Clothing,490,986,40.77,
2023-04-20,Clothing,433,684,40.8,
2023-04-21,Clothing,341,529,38.14,
2023-04-22,Clothing,355,1016,39.1,
2023-04-23,Clothing,369,727,40.11,
2023-04-24,Clothing,418,1063,39.0,
2023-04-25,Clothing,454,978,41.37,
2023-04-26,Clothing,509,926,40.61,
2023-04-27,Clothing,405,816,38.52,
2023-04-28,Clothing,353,706,39.36,
2023-04-29,Clothing,367,870,40.2,
2023-04-30,Clothing,383,788,39.85,
2023-05-01,Clothing,366,1003,41.59,
2023-05-02,Clothing,474,1401,41.07,
2023-05-03,Clothing,468,1052,41.08,
2023-05-04,Clothing,462,704,41.09,
2023-05-05,Clothing,359,1071,38.25,
2023-05-06,Clothing,364,1152,39.75,
2023-05-07,Clothing,370,1233,41.26,
2023-05-08,Clothing,422,1314,39.97,
2023-05-09,Clothing,474,1395,38.68,
2023-05-10,Clothing,524,899,39.59,
2023-05-11,Clothing,463,938,40.16,
2023-05-12,Clothing,403,745,40.72,
2023-05-13,Clothing,342,552,41.28,
2023-05-14,Clothing,352,759,40.58,
2023-05-15,Clothing,373,590,40.12,
2023-05-16,Clothing,438,877,39.68,
2023-05-17,Clothing,462,970,39.71,
2023-05-18,Clothing,410,833,40.42,
2023-05-19,Clothing,359,601,41.57,
2023-05-20,Clothing,327,936,41.18,
2023-05-21,Clothing,388,869,40.51,
2023-05-22,Clothing,1188,2088,39.9,spike
2023-05-23,Clothing,806,951,40.35,
2023-05-24,Clothing,423,646,41.51,
2023-05-25,Clothing,372,803,39.65,
2023-05-26,Clothing,309,622,41.3,
2023-05-27,Clothing,361,1025,40.5,
2023-05-28,Clothing,331,970,40.4,
2023-05-29,Clothing,361,891,41.45,
2023-05-30,Clothing,392,671,41.56,
2023-05-31,Clothing,451,1136,41.99,
2023-06-01,Clothing,386,995,40.66,
2023-06-02,Clothing,322,854,39.33,
2023-06-03,Clothing,337,952,38.0,
2023-06-04,Clothing,370,857,41.54,
2023-06-05,Clothing,326,738,39.2,
2023-06-06,Clothing,391,756,38.77,
2023-06-07,Clothing,435,835,38.5,
2023-06-08,Clothing,440,815,40.57,
2023-06-09,Clothing,279,794,40.03,
2023-06-10,Clothing,321,594,40.63,
2023-06-11,Clothing,385,647,38.93,
2023-06-12,Clothing,400,701,39.17,
2023-06-13,Clothing,414,754,39.42,
2023-06-14,Clothing,424,687,38.54,
2023-06-15,Clothing,386,758,40.88,
2023-06-16,Clothing,298,889,38.28,
2023-06-17,Clothing,292,476,38.89,
2023-06-18,Clothing,342,919,39.49,
2023-06-19,Clothing,346,1001,41.94,
2023-06-20,Clothing,403,978,41.25,
2023-06-21,Clothing,460,954,40.56,
2023-06-22,Clothing,348,850,38.85,
2023-06-23,Clothing,270,465,41.79,
2023-06-24,Clothing,273,743,38.07,
2023-06-25,Clothing,284,554,41.32,
2023-06-26,Clothing,364,614,40.1,
2023-06-27,Clothing,363,588,40.91,
2023-06-28,Clothing,402,780,38.84,
2023-06-29,Clothing,379,992,41.59,
2023-06-30,Clothing,283,811,39.09,
2023-07-01,Clothing,270,630,39.5,
2023-07-02,Clothing,284,712,40.31,
2023-07-03,Clothing,298,794,41.11,
2023-07-04,Clothing,357,580,38.56,
2023-07-05,Clothing,356,736,38.88,
2023-07-06,Clothing,356,891,39.2,
2023-07-07,Clothing,270,807,38.0,
2023-07-08,Clothing,270,723,38.83,
2023-07-09,Clothing,270,640,39.66,
2023-07-10,Clothing,322,774,39.42,
