order_date,category,units_sold,inventory_on_hand,unit_price,_injected_anomaly
"Oct 15, 2024",TOYS,134,NULL,$26.09,
09-09-2023,electronics,160,452,$250.26,
09-May-25,TOYS,181,439,$25.56,
05/17/2024, Electronics ,312,751,254.84,
01-Apr-24, Toys ,190,525,$24.41,
18-Sep-23,Electroncs,159,357,"249,77",
10/23/2023,Groceries,429,713,"8,45",
02-02-2023,Groceries,637,1495,8.77,
2023.11.02,Electroncs,298,834,$242.61,
10/15/2024,FURNITURE ,97,192,$380.88,
2024.07.27,CLOTHING,272,731,$38.95,
04-11-2023,Toyz,235,380,25.65,
15-Sep-23,clothing,197,455,40.69,
01-Jul-24, groceries ,531,1333,8.43,
07-Jan-24,TOYS,146, ,23.86,
"Jun 18, 2025",CLOTHING,519,936,40.83,
31-01-2024, Clothing,424,,41.64,
"Oct 29, 2023",TOYS,109,203,24.72,
01-01-2025,FURNITURE ,148,424,380.3,
06-Feb-25,Groceries,665,1548,8.48,
"Apr 18, 2023",clothing,451,1302,41.05,
08/13/2024,CLOTHING,320,844,"39,86",
02-01-2023,Electroncs,219,549,255.04,
25-02-2023,GROCERIES ,589,1116,"8,89",
2024.11.24,furniture,122,305,382.56,
08-05-2024, Electronics ,424,1196,252.92,
01/20/2025, groceries ,597,1316,$8.70,
17-10-2024,GROCERIES ,418,647,8.71,
04-04-2024, Clothing,430,752,$39.88,
2025.04.30, groceries ,818,1760,8.77,
"Jun 30, 2025",groceries,536,1595,8.77,
07-02-2023,Grocery,498, ,8.32,
09/19/2023, Electronics ,210, ,"245,76",
2023.06.24,Furnitature,98,174,$398.37,
2023.04.27,Toyz,199,310, ,
14-Feb-23,Toyz,206,570,25.31,
"May 11, 2023", Clothing,-416,938,40.16,
"Apr 30, 2023", furniture,-110,215,407.11,
08/17/2024,Furnitature,80,160,"380,38",
15-05-2024, groceries ,716,2015,8.57,
2023.09.29,Furnitature,65,128,415.59,
"Oct 13, 2024",Groceries,318,492,8.89,
"Apr 07, 2023",CLOTHING,369,695,$39.19,
2024.10.12, Clothing,188,547,$39.99,
16-Dec-23, furniture,109,316,418.34,
23-Oct-23,electronics,192,328,249.05,
15-05-2025,furniture,170,326,$385.68,
17-Jun-25, groceries ,720,1758,8.8,
06/22/2024,Groceries,533,1095,8.46,
2023.12.16,groceries,639,null,8.54,
"Nov 30, 2024",Furnitature,120,344,$394.64,
06/13/2024,ELECTRONICS,334,771,"243,24",
"May 07, 2023", Clothing,370,?,"41,26",
05-04-2024,GROCERIES ,618,1601,$8.66,
"Oct 06, 2024", furniture,70,202,"393,23",
01-10-2024,Electroncs,-303,900,$241.03,
2024.10.29,Toys,150,265,25.24,
03/27/2025,Cloting,539,1533,$40.31,
2024.04.27,Grocery,633,1892,8.6,
03/22/2024,GROCERIES ,599,1149,$8.08,
09-11-2023,FURNITURE ,138,341,418.93,
05-04-2023,TOYS,216,349,25.7,
12-09-2023,electronics,223,584,$248.29,
22-May-25,Groceries,719,1960,8.39,
02/23/2023,FURNITURE ,125,374,"395,90",
"Nov 04, 2024", Electronics ,334,N/A,238.09,
06/30/2024,Electroncs,248,527,"237,88",
2024.08.21,TOYS,159,437,25.3,
11-08-2024,Toys,171,489,24.41,
27-Aug-24,Furniture,100,214,406.8,
03/25/2025,Furnitature,163,310,398.13,
2023.05.10,Toyz,244,603,24.7,
02-Feb-24,Cloting,340,968,$39.20,
10-11-2023,clothing,282,595,$41.48,
09-05-2023,FURNITURE ,92,269,380.06,
2023.04.27,groceries,653,1562,8.31,
2024.04.08,toys,213,593,25.84,
15-Jan-24, furniture,111,259,401.79,
28-Mar-23,Furnitature,157,261,381.94,
20-05-2025,CLOTHING,437, ,38.78,
29-04-2023, Toys ,177,268,26.15,
03-Feb-24,GROCERIES ,554,1133,$8.57,
