date,product_category,units_sold,inventory_level,unit_price,promotion_flag,warehouse_dispatch_rate,is_anomaly,anomaly_type
01-01-2020,Apparel,402.1,941.4,63.94,0,393.4,0,
02-01-2020,Apparel,427.2,935.9,64.47,0,419.3,0,
03-01-2020,Apparel,344.5,953.2,63.94,0,328.5,0,
04-01-2020,Apparel,393.3,943.8,64.17,0,394.7,0,
05-01-2020,Apparel,321.2,958.1,63.99,0,311.8,0,
06-01-2020,Apparel,362.3,944.6,62,0,344,0,
07-01-2020,Apparel,368.1,944.1,64.68,0,346,0,
08-01-2020,Apparel,336.6,958.8,64.98,0,349.7,0,
09-01-2020,Apparel,685,928.8,65.66,1,646.4,0,
10-01-2020,Apparel,410.2,940.4,66.3,0,396.1,0,
11-01-2020,Apparel,375.9,950.5,64.47,0,358.1,0,
12-01-2020,Apparel,401.2,942.8,65.75,0,366.3,0,
13-01-2020,Apparel,325.7,965.9,63.97,0,302.2,0,
14-01-2020,Apparel,340.2,960.6,62.09,0,315.8,0,
15-01-2020,Apparel,335.7,953.5,65.17,0,337.1,0,
16-01-2020,Apparel,431.4,920.9,64.89,0,414.6,0,
17-01-2020,Apparel,406.5,929.6,63.94,0,413.5,0,
18-01-2020,Apparel,400.3,930.2,63.86,0,402.9,0,
19-01-2020,Apparel,373.8,937.4,64.55,0,347.2,0,
20-01-2020,Apparel,366.5,938,63.51,0,360.8,0,
21-01-2020,Apparel,360.4,935.5,64.51,0,364.5,0,
22-01-2020,Apparel,602.6,927.1,62.76,1,599.6,0,
23-01-2020,Apparel,393.3,921.6,62.91,0,389.4,0,
24-01-2020,Apparel,382.8,924.8,62.25,0,387,0,
25-01-2020,Apparel,381.1,927.3,66.81,0,346.2,0,
26-01-2020,Apparel,367.6,930.4,64.04,0,371.1,0,
27-01-2020,Apparel,351.8,930,65.49,0,331,0,
28-01-2020,Apparel,324.3,931.3,62.54,0,319.7,0,
29-01-2020,Apparel,343,938.7,63.71,0,321.2,0,
30-01-2020,Apparel,406.1,914.1,64.65,0,416.6,0,
31-01-2020,Apparel,382.5,918.6,65.82,0,371.8,0,
01-02-2020,Apparel,387,919.8,63.17,0,385.7,0,
02-02-2020,Apparel,334.8,937.3,63.43,0,341.2,0,
03-02-2020,Apparel,314.7,945.9,62.93,0,325.5,0,
04-02-2020,Apparel,330.1,939.1,63.79,0,333.3,0,
05-02-2020,Apparel,358.1,931.9,62.64,0,330.3,0,
06-02-2020,Apparel,365.6,929.9,62.1,0,375.9,0,
07-02-2020,Apparel,406.7,916,64.27,0,403.7,0,
08-02-2020,Apparel,372.3,927.6,64.8,0,369.1,0,
09-02-2020,Apparel,384.8,929.1,62.49,0,399.5,0,
10-02-2020,Apparel,344,941.2,63.08,0,322.5,0,
11-02-2020,Apparel,292.6,956.6,63.81,0,273.9,0,
12-02-2020,Apparel,,937,66.12,0,367.1,0,
13-02-2020,Apparel,492.7,951.9,60.32,1,498.9,0,
14-02-2020,Apparel,378.8,948.8,64.51,0,366.3,0,
15-02-2020,Apparel,346.5,949.7,64.81,0,344.8,0,
16-02-2020,Apparel,383.1,943.3,63.03,0,370.8,0,
17-02-2020,Apparel,1443.5,954.2,63.5,0,353.6,1,demand_spike
18-02-2020,Apparel,317.5,961.5,64.37,0,324.9,0,
19-02-2020,Apparel,345.2,954.4,63.9,0,320.1,0,
20-02-2020,Apparel,1396.6,952.8,66.11,1,445.3,1,demand_spike
21-02-2020,Apparel,383.4,944.1,64.07,0,390.3,0,
22-02-2020,Apparel,354.3,955,65.04,0,342.7,0,
