date,product_category,units_sold,inventory_level,unit_price,promotion_flag,warehouse_dispatch_rate
2020-01-01,Electronics,177.1,528.9,46.33,False,178.1
2020-01-01,Pet Supplies,298.5,804.4,196.85,False,306.6
2020-01-01,Beauty,292.3,1029.7,165.15,False,305.7
2020-01-01,Sporting Goods,453.3,1397.7,126.8,False,472.3
2020-01-01,Furniture,261.3,780.4,73.82,False,243.5
2020-01-01,Toys,388.7,792.3,239.05,True,397.1
2020-01-01,Automotive Parts,339.5,656.2,223.74,False,311.8
2020-01-01,Apparel,453.9,719.0,168.09,False,426.4
2020-01-01,Groceries,270.0,655.4,107.5,False,276.9
2020-01-01,Office Supplies,363.4,882.1,91.4,False,331.7
2020-01-02,Pet Supplies,298.1,807.0,191.7,False,281.1
2020-01-02,Automotive Parts,348.8,786.5,219.17,False,356.6
2020-01-02,Office Supplies,385.4,874.9,91.11,False,381.8
2020-01-02,Sporting Goods,525.15,1419.1,128.33,False,535.7
2020-01-02,Electronics,202.7,480.8,43.19,False,210.9
2020-01-02,Toys,240.1,797.5,247.51,False,224.2
2020-01-02,Groceries,302.1,649.9,108.64,False,315.7
2020-01-02,Automotive Parts,337.6,819.5,213.49,False,307.2
2020-01-02,Apparel,445.1,716.9,171.46,False,69.9
2020-01-02,Furniture,281.1,773.8,76.01,False,268.5
2020-01-02,Beauty,301.6,1023.4,161.52,False,300.4
2020-01-03,Clothing,381.5,1234.9,172.29,False,396.5
2020-01-03,Sporting Goods,642.8,1429.0,127.04,True,628.15
2020-01-03,Furniture,292.9,760.3,73.95,False,279.5
2020-01-03,Office Supplies,369.4,855.6,88.42,False,443.7
2020-01-03,Automotive Parts,308.2,835.1,217.96,False,287.5
2020-01-03,Apparel,483.4,711.2,167.15,False,463.2
2020-01-03,Pet Supplies,642.8,803.9,192.42,False,295.0
2020-01-03,Groceries,292.3,649.4,104.55,False,284.1
2020-01-03,Toys,235.8,800.8,230.42,False,228.1
2020-01-03,Electronics,196.4,510.5,46.62,False,181.6
2020-01-04,Pet Supplies,306.4,809.5,200.14,False,309.4
2020-01-04,Furniture,260.1,769.7,74.99,False,248.6
2020-01-04,Electronics,192.1,512.0,45.59,False,198.1
2020-01-04,Groceries,261.2,664.0,109.62,False,274.1
2020-01-04,Apparel,600.6,712.1,172.11,True,557.1
2020-01-04,Automotive Parts,354.3,782.2,224.68,False,317.9
2020-01-04,Sporting Goods,509.0,1383.6,122.9,False,522.1
2020-01-04,Toys,274.4,1722.47,237.42,False,270.6
2020-01-04,Beauty,285.6,1030.2,166.0,False,270.0
2020-01-04,Office Supplies,361.7,885.2,87.91,False,374.6
2020-01-04,Sporting Goods,519.8,1079.1,129.04,False,475.4
2020-01-04,Automotive Parts,313.5,835.5,212.92,False,315.3
2020-01-05,Pet Supplies,266.4,815.9,191.48,False,257.4
2020-01-05,Office Supplies,355.0,883.8,92.87,False,336.3
2020-01-05,Furniture,265.4,761.5,73.87,False,262.6
2020-01-05,Apparel,407.2,1216.3,171.24,False,422.8
2020-01-05,Beauty,270.8,1035.8,166.83,False,259.1
2020-01-05,Furniture,211.4,777.2,73.86,False,211.2
2020-01-05,Automotive Parts,308.3,838.7,214.16,False,309.1
2020-01-05,Beauty,399.3,1067.3,168.98,False,373.4
2020-01-05,Toys,306.1,635.9,229.81,False,285.7
2020-01-05,Toys,187.9,811.0,235.15,False,186.3
2020-01-05,Groceries,286.1,619.7,108.32,False,299.3
2020-01-05,Groceries,260.9,673.9,107.88,False,240.3
2020-01-06,Electronics,198.2,527.3,46.55,True,206.4
2020-01-06,Apparel,428.5,1212.2,169.72,False,409.7
2020-01-06,Pet Supplies,247.0,827.6,198.77,False,243.2
2020-01-06,Office Supplies,467.7,891.7,89.41,True,441.1
2020-01-06,Toys,226.6,803.9,244.67,False,233.2
2020-01-06,Sporting Goods,642.8,1098.0,129.43,True,119.3
2020-01-06,Automotive Parts,271.4,844.2,223.34,False,247.1
2020-01-06,Groceries,233.1,685.9,109.47,False,218.2
2020-01-06,Pet Supplies,244.3,834.0,197.9,False,226.8
2020-01-06,Sporting Goods,423.1,1377.0,125.31,False,422.7
2020-01-06,Furniture,363.1,764.0,73.76,True,333.7
2020-01-06,Beauty,383.5,1107.9,163.6,False,386.1
2020-01-06,Beauty,234.6,1051.7,157.77,False,628.15
2020-01-07,Furniture,282.8,760.3,77.74,False,290.2
2020-01-07,Sporting Goods,460.6,1097.1,127.02,False,472.7
2020-01-07,Office Supplies,477.6,895.2,88.95,True,451.9
2020-01-07,Toys,217.3,807.5,236.71,False,212.4
2020-01-07,Apparel,420.4,1215.0,170.28,False,403.3
2020-01-07,Beauty,270.0,1047.0,160.06,False,265.2
2020-01-07,Furniture,238.7,810.7,75.36,False,231.4
2020-01-07,Sporting Goods,511.4,1364.4,129.51,False,530.9
2020-01-07,Apparel,507.2,1321.1,168.92,True,484.7
2020-01-07,Groceries,197.4,694.7,107.18,False,295.35
2020-01-07,Pet Supplies,259.2,827.9,193.95,False,255.8
2020-01-07,Toys,320.2,635.9,244.77,False,328.4
2020-01-07,Electronics,175.5,523.1,46.78,False,628.15
2020-01-07,Automotive Parts,296.4,839.7,217.75,False,286.8
2020-01-08,Beauty,405.5,1080.9,167.97,False,393.4
2020-01-08,Pet Supplies,321.3,814.6,205.73,False,294.4
2020-01-08,Clothing,450.3,1203.3,166.46,False,459.9
2020-01-08,Sporting Goods,431.4,1107.4,131.67,False,400.3
2020-01-08,Automotive Parts,314.7,833.4,212.43,False,284.5
2020-01-08,Office Supplies,377.6,877.4,87.46,False,384.3
2020-01-08,Furniture,267.3,770.1,75.07,False,262.5
2020-01-08,Apparel,393.1,1279.4,169.7,False,406.5
2020-01-09,Toys,313.75,808.0,236.86,False,224.2
2020-01-09,Furniture,285.3,760.1,73.12,False,273.1
2020-01-09,Beauty,337.8,1068.5,164.22,False,334.7
2020-01-09,Pet Supplies,335.9,790.7,196.71,False,311.5
2020-01-09,Automotive Parts,227.9,764.9,220.75,False,228.5
2020-01-09,Automotive Parts,364.8,815.0,217.8,False,381.9
2020-01-09,Clothing,642.8,1178.7,174.47,True,628.15
2020-01-09,Groceries,304.3,667.9,105.2,False,296.6
2020-01-09,Electronics,201.4,519.1,46.02,False,181.5
2020-01-09,Pet Supplies,308.6,768.5,196.38,False,318.5
2020-01-09,Office Supplies,400.9,870.3,87.52,False,406.3
2020-01-09,Sporting Goods,518.7,1441.0,130.23,False,540.8
2020-01-09,Clothing,415.5,1238.7,166.23,False,416.3
2020-01-10,Sporting Goods,527.3,1439.2,129.7,False,548.7
2020-01-10,Automotive Parts,330.3,831.0,218.71,False,341.8
2020-01-10,Groceries,304.0,667.1,112.07,False,305.6
2020-01-10,Office Supplies,376.1,810.7,90.05,False,354.4
2020-01-10,Beauty,290.7,1032.3,163.62,False,304.9
2020-01-10,Office Supplies,514.8,877.8,87.58,True,515.3
2020-01-10,Pet Supplies,321.3,796.4,197.46,False,310.6
2020-01-10,Apparel,456.3,1187.7,166.84,False,448.3
2020-01-10,Toys,241.8,795.5,239.83,False,242.8
2020-01-11,Groceries,287.0,670.6,107.92,False,293.3
2020-01-11,Beauty,294.2,1032.5,169.26,False,302.0
2020-01-11,Toys,232.8,786.3,233.61,False,235.8
2020-01-11,Sporting Goods,496.0,1404.7,128.33,False,454.1
