date,product_category,units_sold,inventory_level,unit_price,promotion_flag,warehouse_dispatch_rate,Unnamed: 7
20-Sep-22,Furnture,375.5,1158.3,73.29,0,338.2,
30-08-2020,"  Beuaty	",351.6,1056.9,165.31,0,367.4,
10-May-20, Beauty,-339.2,1122.2,missing,0,341.8,
07-10-2020,SPORTING GOODS,523.7,-,127.56,FALSE,523.5,
05-08-2022,toys,397.5,568.7,239.06,FALSE,399.8,
12-06-2022,Toys,331.6,584.2,237.19,0,316,
28-Feb-20,office supplies,364.7,910.2,88.22,0,336.6,
06-23-2021,furniture,258.9,1009,74.18,No,240.6,
07-05-2022,APPAREL,426.8,-1440.5,Rs.173.53,0,443.6,
18-11-2020,Auto Parts,336.9,642.7,222.82,0,351.9,
31-Mar-22,"  Electronics	",377.9,294.2,46.86,0,346.1,
10-06-2022,office supplies,-,713.1,86.63,0,368.5,
13-Jul-20,groceries,NA,625.2,111.2,0,159,
31-01-2022,AUTOMOTIVE PARTS,346.8,649.7,214.15,0,323.4,
23-Sep-22,Toy,401.5,613,234.79,No,364.9,
10-08-2022,Groceries,306.6,520.6,109.72,0,309.6,
01-07-2022,Clothing,460.3,1423.5,167.09,N,451.4,
11-Feb-21,"  Grocerys	",340.7,569.3,107.19,0,314,
08-04-2022,"  Beuaty	",487.8,931.9,168.32,0,477.6,
09-05-2021,Electronis,296.2,355.5,48.22,0,267.4,
28-12-2022,Pet Supplies,413.2,669.6,null,0,432,
28-07-2020,"  office supplies	",229.8,889.3,88.71,No,214.1,
04-06-2020,Sporting_Goods,553.5,1336.3,131.28,0,581,
30-10-2021,AUTOMOTIVE PARTS,332.8,667.3,213.97,0,325,
09-02-2020,Pet Supplies,944.4,825.1,189.99,No,246.4,
06-Jul-20,beauty,370.5,1102.2,164.74,FALSE,NULL,
04-16-2022,Electronis,-361,280.9,47.02,FALSE,347.8,
20-07-2022, Toys,383.3,581.8,226.53,N,347.8,
09-Jul-22,BEAUTY,471.6,954.4,163.26,N,439.5,
08-03-2020, Beauty,366.3,-1095.3,164.49,FALSE,352.4,
02-09-2022,Electronis,256.7,271.6,47.29,0,267.3,
26-05-2022,Toys,377.5,561.2,$237.68,0,377.2,
24-06-2022,SPORTING GOODS,586.2,1383.3,122.46,0,595.3,
29-08-2021,Sporting Goods,550.3,1368.2,130.82,1,554.2,
09-09-2020,Auto Parts,243.5,748.4,225.09,0,232.7,
15-03-2022,ELECTRONICS,393.3,329.9,45.56,1,395.8,
08-10-2021,Toys,357.5,627.1,238.63,0,369.9,
18-12-2022,furniture,339,1121.4,73.5,No,343.5,
04-02-2022,Electronis,335.4,336.8,47.05,0,347.5,
03-12-2021,automotive parts,365.7,650.8,N/A,FALSE,3568,
07-10-2020,Sport Goods,528.7,1362.9,129.28,0,512.1,
01-Aug-22,Pet Supplies ,476.9,765.3,195.3,1,434.8,
04-01-2023,apparel,543.9,1369.4,165.04,0,535.4,
07-09-2022, Office Supplies,535.4,730.3,91.95,1,504.4,
04-Sep-22,Sporting_Goods,497.9,1165.7 pcs,127.25,0,47.7,
06-Dec-20,office supplies,412.7,825.4,90.56,No,377.4,
25-09-2021,toys,337.8,-660,231.35,0,352.3,
04-06-2022,Groceries,352.3,733,106.05,FALSE,318.5,
20-02-2022,Sporting_Goods,NA,1418.2,131.88,N,497.5,
29-11-2020,groceries,284,572.7,$105.92,0,297.6,
04-29-2021,Office Supplies,309.5,-,88.99,FALSE,73.7,
19-04-2021,PetSupplies,247.2,859.8,201.05,FALSE,239.5,
08-07-2021,PET SUPPLIES,331.6,,194.68,0,300,
01-06-2022,Toys,NA,567,234.63,0,334.3,
27-12-2021,OfficeSupplies,422.5,774.5,89.49,0,403.8,
11-14-2020,Toy,313,595.7,239.46,No,310,
08-03-2022,OfficeSupplies,375.1,738.7,89.93,No,354.4,
12-08-2021,Furnture,334.4,986.7,74.11,0,321.4,
14-Nov-20,Beauty,395.8,1088.8,166.91,0,372,
18-06-2020,Auto Parts,-,853.9,216.71,0,282.6,
14-01-2020,Automotive Parts,299.6,844.2,217.32,0,308.9,
23-05-2022,Grocery,289.6,776.8,109.38,0,301.8,
21-Apr-22,Clothing,458.8,?,173.26,0,421.3,
05-05-2020,SPORTING GOODS,463.6,1373.8,130.84,0,439.2,
29-10-2021,apparel,502.4,1317.8,NULL,No,506.2,
11-12-2022, Electronics,277.5,288.8,45.65,0,289.6,
12-01-2020,OfficeSupplies,353.8,878.2,91.51,0,352,
08-22-2022,OFFICE SUPPLIES,353.7,726.6,91.24,0,368.3,
29-Dec-22,Pet Supplies,413.5,661.9,195.07,FALSE,373,
01-Jan-21,Toy,296.4,611.7 pcs,239.89,0,279.5,
17-10-2021,Electronic,167.8,428.6,46.78,0,167,
11-06-2021,Toy,336.3,419.9,236.57,0,306.5,
29-11-2022, Toys,305,585.0 pcs,232.28,0,277.5,
16-11-2021,Groceries ,296.2,820.4,105.68,0,271.9,
24-Jan-21,Clothing,462.2,1008.3,173.34,FALSE,422.8,
29-04-2022,OfficeSupplies,413.1,698.3,NA,No,397.7,
07-04-2022,Sport Goods,503.9,1385.6,$129.78,FALSE,496.3,
16-08-2021,Apparel,459.7,1257.1,167.61,0,479.6,
26-02-2021,Office Supplies,680,872,85.55,1,684,
19-09-2021,AUTOMOTIVE PARTS,277.6,711.6,215.32,0,258.8,
24-10-2022,Sport Goods,467.6,1453.2,133.18,0,429,
05-22-2020,Grocery,274.8,618.2,111.11,0,260.7,
19-Apr-22,Automotive Parts,380.4,580.5,210.69,No,356.8,
22-01-2022,apparel,483.9,1334.6,176.7,0,440.6,
28-08-2020,Sporting Goods,503.5,1369,125.41,0,462.7,
13-04-2021, Office Supplies,NA,897.1,91.25,0,322.5,
05-02-2022,OFFICE SUPPLIES,453.8,459.8,N/A,0,433.2,
24-07-2022,"  Toys	",473.3,579,NULL,1,458.8,
29-Jul-22,Office Supplies,393.8,668,88.27,No,377.6,
29-May-22, Toys,372.6,561.6,235.12,N,382.7,
14-07-2020,Grocerys,196.8,618.1,110.22,0,192.1,
03-07-2021,BEAUTY,457.1,983.6,160.07,0,445.9,
13-10-2022,BEAUTY,447.1,940.5,$170.85,N,441.1,
08-01-2021,electronics,244.4,null,46.6,0,229.3,
08-02-2021,Furniture ,330,989.5,74.78,N,304.5,
14-01-2021,BEAUTY,362.4,1025.3,168.74,0,338.4,
03-Apr-20,Electronis,286.1,NULL,46.37,No,294.9,
25-Dec-21,Electronics,263.3,242.1,46.85,N,244.5,
12-02-2021,Groceries ,352,567.3,106.55,0,368.8,
19-09-2022,PET SUPPLIES,475,733.9,200.37,TRUE,496.6,
19-Aug-20,Appearl,428.5,null,999999,0,395.6,
25-01-2022, Apparel,441.6,1343.9,169.83,FALSE,439.6,
09-01-2020,Pet Supplies ,335.9,790.7,Rs.193.56,No,311.5,
08-07-2022, Toys,357,577.1,242.25,0,354.6,
23-01-2020,toys,333.3,819.9,241.61,Y,339.1,
25-May-21,OfficeSupplies,261.5,620.3,89.25,0,235.8,
07-14-2020,automotive parts,228.9,801.2,219.47,0,222.1,
04-11-2020,Furniture,365.1,782.9,73.92,N,334.4,
27-03-2020,Pet Supplies,270.4,800.2,197.4,No,258.6,
06-10-2022,Toys,399,605.3,235.16,0,365.9,
02-28-2022,ELECTRONICS,320,355.2,45.58,0,293.7,
